gesture_id,Ax,Ay,Az
10,1.267,-1.798,10.025
10,1.295,-0.453,9.993
10,1.307,-0.091,9.977
10,1.334,0.01,9.981
10,1.281,-0.086,10.02
10,1.243,-0.067,9.993
10,1.271,-0.055,9.974
10,1.319,-0.089,9.993
10,1.259,-0.067,9.996
10,1.257,-0.038,10.013
10,1.274,-0.065,10.01
10,1.262,-0.086,10.01
10,1.274,-0.057,10.022
11,1.037,0.055,10.075
11,1.317,-0.093,9.926
11,1.269,-0.041,10.027
11,1.235,-0.093,10.06
11,1.25,-0.067,9.984
11,1.221,-0.065,9.981
11,1.255,-0.12,10.005
11,1.276,-0.096,9.955
11,1.298,-0.065,10.025
11,1.228,-0.089,10.005
11,1.207,-0.065,9.972
11,1.243,-0.06,9.974
11,1.286,-0.098,9.965
11,1.29,-0.072,9.998
11,1.286,-0.072,9.998
11,1.269,-0.057,10.001
11,1.243,-0.055,9.996
11,1.259,-0.086,9.969
11,1.269,-0.077,10.01
11,1.267,-0.031,10.008
11,1.257,-0.091,9.967
11,1.233,-0.084,10.029
11,1.247,-0.041,9.996
11,1.257,-0.108,10.001
11,1.276,-0.098,10.001
11,1.271,-0.045,10.005
11,1.559,-1.097,9.867
11,1.697,-1.666,10.025
11,0.924,-1.006,9.986
11,1.3,-1.417,9.934
11,1.437,-1.307,10.005
11,0.922,-0.996,10.082
11,1.255,-1.164,9.996
11,1.168,-0.642,10.034
11,1.19,-0.742,9.991
11,1.178,-0.639,10.013
11,1.274,-0.587,9.965
11,0.986,-0.687,10.017
11,1.058,-0.582,10.017
11,1.496,-0.663,9.989
11,1.494,-0.467,9.931
11,1.3,0.062,10.029
11,0.864,0.318,10.044
11,1.032,0.204,9.977
11,1.468,0.436,9.969
11,1.01,0.16,10.02
11,1.211,0.287,10.027
11,1.664,0.505,9.929
11,1.398,0.323,9.95
11,1.58,0.723,9.957
11,1.786,0.39,9.991
11,1.595,0.79,9.993
11,1.437,1.063,9.977
11,1.164,1.168,9.989
11,1.425,1.408,9.989
11,1.293,1.437,10.034
11,1.077,1.393,10.005
11,1.013,1.338,10.003
11,0.939,1.3,10.01
11,1.18,0.211,9.989
11,1.226,-0.074,10.01
11,1.279,-0.091,9.972
11,1.302,-0.079,10.048
11,1.279,-0.057,10.046
11,1.274,-0.062,10.003
11,1.231,0,10.118
11,-0.582,-0.06,10.161
11,-0.201,-0.089,10.113
11,-0.285,-0.208,10.113
11,0.764,-0.208,10.039
11,1.812,-0.271,9.972
11,1.238,-0.074,10.005
11,-0.553,0.115,10.178
11,0.476,0.086,9.998
11,1.149,-0.041,10.017
11,0.606,0.134,10.08
11,0.18,-0.146,10.036
11,2.222,-0.177,9.912
11,0.4,0.041,10.187
11,0.393,0.012,9.981
11,1.058,0.151,10.036
11,1.492,0.096,9.929
11,0.625,-0.002,10.07
11,1.35,-0.139,9.922
11,2.492,-0.136,9.95
11,1.516,-0.034,10.036
11,1.542,-0.33,9.941
11,2.909,-0.39,9.816
11,1.779,-0.151,9.914
11,1.688,-0.278,10.039
11,2.389,-0.271,9.929
11,1.293,-0.084,9.981
11,1.824,-0.093,9.929
11,1.463,-0.048,9.984
11,1.812,-0.124,9.972
11,1.618,-0.165,9.95
11,1.743,-0.034,9.957
11,1.753,-0.06,10.001
11,2.133,-0.029,9.938
11,1.99,0.01,9.934
11,2.526,-0.069,9.917
11,2.186,-0.072,9.914
11,2.466,0.081,9.85
11,2.191,0.048,9.941
11,1.623,-0.041,9.962
11,1.334,-0.067,9.996
11,1.317,-0.048,9.965
11,1.185,0.055,9.972
11,1.279,-0.036,9.986
11,1.089,1.257,10.008
11,1.092,1.123,9.981
11,1.178,1.08,9.986
11,1.293,0.759,9.996
11,1.719,1.013,9.957
11,1.434,0.86,9.993
11,1.559,1.113,9.929
11,1.482,0.922,9.943
11,1.355,0.773,9.984
11,1.444,0.725,10.041
11,1.451,0.639,9.953
11,1.451,0.536,9.996
11,1.338,0.421,10.001
11,1.298,-0.201,9.974
11,1.535,0,9.919
11,1.128,-0.06,10.027
11,1.279,0.034,9.974
11,1.142,-0.127,10.003
11,1.312,0.182,10.005
11,1.243,0.089,10.01
11,1.288,0.017,9.924
11,1.516,-0.019,9.993
11,1.245,0.002,10.01
11,1.271,-0.134,9.993
11,1.492,-0.072,9.972
11,1.07,-0.134,10.008
11,1.279,-0.534,9.989
11,1.432,-0.486,9.984
11,1.085,-0.57,10.034
11,1.358,-0.596,9.991
11,1.094,-0.395,10.003
11,1.298,-0.582,10.008
11,1.19,-0.433,10.001
11,1.264,-0.522,10.02
11,1.14,-0.658,9.991
11,1.173,-0.747,10.003
11,1.125,-1.006,10.034
11,0.982,-1.14,10.008
11,1.159,-1.432,10.034
11,1.336,-1.532,9.979
11,1.298,-1.233,9.986
11,1.355,-1.013,9.977
11,1.279,-0.314,10.005
11,1.276,-0.077,9.977
11,1.259,-0.062,9.991
11,1.262,-0.077,9.984
11,1.274,-0.057,10.01
11,1.317,-0.074,10.003
11,1.705,-0.026,9.878
11,2.533,0.103,9.862
11,1.652,-0.029,9.981
11,2.552,0.065,9.922
11,2.579,0.057,9.871
11,2.107,-0.096,9.946
11,2.454,-0.366,9.91
11,2.478,-0.273,9.917
11,1.748,-0.548,9.929
11,1.583,-0.441,9.977
11,1.559,-0.323,9.984
11,1.867,-0.311,9.941
11,1.164,-0.014,10.02
11,1.199,0.172,10.013
